-,-,-
1, 139, 1088
9, 153, 1186
9, 153, 1186
14, 114, 1309
33, 92, 1435
78, 94, 1593
78, 94, 1593
144, 72, 1757
226, 67, 1867
277, 53, 1937
327, 57, 1996
327, 57, 1996
366, 106, 1998
404, 176, 1996
439, 208, 1879
460, 294, 1687
485, 341, 1425
456, 373, 1195
433, 380, 948
433, 380, 948
418, 356, 698
375, 302, 454
312, 268, 292
262, 215, 160
262, 215, 160
202, 158, 44
151, 117, -75
106, 64, -151
68, 26, -152
68, 26, -152
28, -26, -150
0, -72, -139
-31, -106, -124
-75, -123, -91
-113, -136, -78
-113, -136, -78
-146, -142, -51
-179, -124, -23
-209, -63, 27
-286, -61, 111
-383, -44, 216
-422, 45, 387
-402, 118, 520
-373, 162, 597
-373, 162, 597
-370, 247, 712
-343, 313, 912
-288, 406, 1132
-252, 462, 1314
-253, 542, 1455
-284, 666, 1650
-308, 697, 1784
-204, 628, 1783
-105, 686, 1888
-97, 826, 1995
-97, 826, 1995
-101, 928, 1998
-15, 912, 1998
92, 867, 1998
158, 861, 1998
238, 902, 1998
364, 880, 1998
364, 880, 1998
461, 801, 1998
524, 741, 1998
593, 805, 1921
645, 858, 1798
-,-,-
-79, 29, 1062
-79, 29, 1062
-91, 13, 1207
-88, -29, 1406
-64, -74, 1640
44, -60, 1894
181, 9, 1998
181, 9, 1998
277, 64, 1998
357, 125, 1998
418, 197, 1998
457, 251, 1968
486, 277, 1747
486, 277, 1747
488, 312, 1476
500, 311, 1205
490, 294, 950
465, 252, 719
426, 207, 508
426, 207, 508
393, 181, 343
311, 161, 226
227, 80, 97
177, -20, -2
177, -20, -2
123, -61, -89
64, -69, -123
33, -117, -122
11, -156, -144
-30, -213, -189
-30, -213, -189
-56, -261, -195
-78, -260, -149
-87, -239, -67
-115, -235, 32
-144, -254, 144
-197, -220, 229
-244, -177, 289
-304, -155, 352
-324, -127, 431
-301, -94, 564
-277, -11, 694
-277, -11, 694
-280, 39, 723
-303, 70, 786
-297, 119, 885
-255, 312, 1033
-275, 429, 1207
-325, 415, 1342
-306, 418, 1363
-306, 418, 1363
-209, 680, 1477
-182, 848, 1623
-178, 797, 1798
-169, 648, 1887
-112, 753, 1882
-33, 907, 1931
91, 918, 1975
206, 904, 1998
281, 931, 1998
281, 931, 1998
429, 937, 1998
